Wall time,Step,Value
1492137596.184565,200,1.3986023664474487
1492138115.670834,400,0.9110262393951416
1492138648.701824,600,1.0213477611541748
1492139225.503472,800,0.9793298840522766
1492139717.866152,1000,1.0175795555114746
1492140203.718099,1200,1.0140907764434814
1492140685.621721,1400,1.0126646757125854
1492141163.710679,1600,0.9500010013580322
1492141644.296831,1800,0.9839574098587036
1492142129.185152,2000,0.9819555878639221
1492142614.091345,2200,1.0063012838363647
1492143099.654633,2400,0.9565371870994568
1492143587.1846,2600,1.0130876302719116
1492144076.477357,2800,0.995812177658081
1492144567.105055,3000,1.078819990158081
1492145060.543589,3200,1.04469895362854
1492145554.047017,3400,1.0121610164642334
1492146051.988415,3600,0.9617791771888733
1492146551.215215,3800,0.9815749526023865
1492147051.0568,4000,0.9778605103492737
1492147554.187465,4200,0.9641404747962952
1492148058.487489,4400,0.9830217957496643
1492148566.165516,4600,0.9937822222709656
1492149074.455626,4800,0.9478535652160645
1492149585.676378,5000,0.9996522068977356
1492150092.349902,5200,0.9777840375900269
1492150598.600286,5400,0.9456858038902283
1492151106.66176,5600,0.9740469455718994
1492151617.36665,5800,0.9195619225502014
1492152130.122744,6000,0.8626452088356018
1492152643.054657,6200,0.8103448152542114
1492153161.440597,6400,0.8617023229598999
1492153678.769375,6600,0.8705280423164368
1492154197.466565,6800,0.8206701278686523
1492154719.040268,7000,0.8233900666236877
1492155240.86828,7200,0.8194449543952942
1492155763.765302,7400,0.8516688346862793
1492156290.876717,7600,0.8255224823951721
1492156819.811145,7800,0.795103907585144
1492157348.147324,8000,0.7744755744934082
1492157881.005494,8200,0.7719544172286987
1492158414.979679,8400,0.770902156829834
1492158950.165167,8600,0.7567545175552368
1492159488.104487,8800,0.7895462512969971
1492160028.407684,9000,0.7357305288314819
1492160573.030359,9200,0.7453816533088684
1492161115.964322,9400,0.6973575949668884
1492161662.099703,9600,0.7070451378822327
1492162208.614646,9800,0.6823511123657227
1492162756.932258,10000,0.6603062748908997
1492163308.494024,10200,0.673372745513916
1492163861.424368,10400,0.685681939125061
1492164417.589519,10600,0.6862005591392517
1492164978.093264,10800,0.6607189178466797
1492165540.056466,11000,0.6889750361442566
1492166103.690319,11200,0.6791935563087463
1492166670.985099,11400,0.6545220017433167
1492167240.282348,11600,0.6271553635597229
1492167813.971605,11800,0.6300743222236633
1492168390.369942,12000,0.6258994936943054
1492168967.354844,12200,0.6367255449295044
1492169544.775467,12400,0.6384963393211365
1492170126.849711,12600,0.3968569040298462
1492170711.566194,12800,0.606749951839447
1492171298.99322,13000,0.5689186453819275
1492171886.912147,13200,0.5709929466247559
1492172477.55363,13400,0.5802614688873291
1492173069.625932,13600,0.567149817943573
1492173662.404931,13800,0.5912900567054749
1492174257.515134,14000,0.5663729906082153
1492174857.380475,14200,0.5495201349258423
1492175458.995961,14400,0.5639917850494385
1492176066.332116,14600,0.5480757355690002
