Wall time,Step,Value
1471787495.538971,40,0.6200000047683716
1471787543.09528,60,0.6899999976158142
1471787566.59602,70,0.75
1471787589.914266,80,0.6600000262260437
1471787613.007721,90,0.699999988079071
1471787636.34567,100,0.6600000262260437
1471787659.388516,110,0.8700000047683716
1471787682.411694,120,0.7799999713897705
1471787705.253961,130,0.7599999904632568
1471787820.382085,180,0.7400000095367432
1471787843.594647,190,0.75
1471787867.003983,200,0.7300000190734863
1471787891.607747,210,0.7799999713897705
1471787915.641619,220,0.75
1471787940.787755,230,0.7200000286102295
1471787967.372747,240,0.7400000095367432
1471787993.660352,250,0.6800000071525574
1471788017.38718,260,0.7099999785423279
1471788065.098343,280,0.7799999713897705
1471788139.777513,300,0.7699999809265137
1471788239.452705,340,0.7300000190734863
1471788264.655648,350,0.7300000190734863
1471788289.165455,360,0.8199999928474426
1471788315.122673,370,0.7599999904632568
1471788339.600061,380,0.7900000214576721
1471788363.938038,390,0.7799999713897705
1471788388.604057,400,0.800000011920929
1471788413.618355,410,0.7699999809265137
1471788440.366595,420,0.800000011920929
1471788469.48601,430,0.7599999904632568
1471788525.362285,450,0.7099999785423279
1471788553.338212,460,0.7300000190734863
1471788581.444748,470,0.800000011920929
1471788610.230896,480,0.8100000023841858
1471788638.065524,490,0.8199999928474426
1471788666.270239,500,0.7799999713897705
1471788718.459228,520,0.7400000095367432
1471788770.341198,540,0.7900000214576721
1471788798.876076,550,0.800000011920929
1471788825.268161,560,0.8199999928474426
1471788850.046681,570,0.75
1471788875.210578,580,0.7400000095367432
1471788921.503039,590,0.8399999737739563
1471788946.619163,600,0.7799999713897705
1471788971.336439,610,0.7599999904632568
1471788995.472501,620,0.8399999737739563
1471789170.209815,690,0.8399999737739563
1471789220.432985,710,0.7300000190734863
1471789245.116328,720,0.7599999904632568
1471789295.298978,740,0.7900000214576721
1471789399.443249,780,0.7300000190734863
1471789448.020203,800,0.699999988079071
1471789499.963504,820,0.7400000095367432
1471789526.75099,830,0.7900000214576721
1471789553.851585,840,0.75
1471789579.817316,850,0.7099999785423279
1471789607.485241,860,0.7699999809265137
1471789681.520476,880,0.699999988079071
1471789709.407479,890,0.7799999713897705
1471789734.74521,900,0.8100000023841858
1471789760.632045,910,0.8199999928474426
