વ	Gujarati
ھ	Arabic
נ	Hebrew
ే	Telugu
ಯ	Kannada
ွ	Myanmar
ग	Devanagari
ί	Greek and Coptic
յ	Armenian
ந	Tamil
þ	Latin-1 Supplement[h]
ം	Malayalam
ြ	Myanmar
ս	Armenian
પ	Gujarati
ज	Devanagari
ལ	Tibetan
స	Telugu
ย	Thai
ল	Bengali
đ	Latin
အ	Myanmar
់	Khmer
ό	Greek and Coptic
տ	Armenian
ද	Sinhala
ล	Thai
，	Halfwidth and Fullwidth Forms
ท	Thai
།	Tibetan
စ	Myanmar
য	Bengali
ျ	Myanmar
।	Devanagari
ප	Sinhala
ෙ	Sinhala
ှ	Myanmar
ള	Malayalam
య	Telugu
ө	Cyrillic
უ	Georgian
ц	Cyrillic
ట	Telugu
ခ	Myanmar
გ	Georgian
ങ	Malayalam
ด	Thai
ේ	Sinhala
ુ	Gujarati
ಳ	Kannada
כ	Hebrew
έ	Greek and Coptic
‍	General Punctuation
ල	Sinhala
េ	Khmer
ք	Armenian
প	Bengali
ើ	Khmer
ু	Bengali
સ	Gujarati
ю	Cyrillic
ុ	Khmer
լ	Armenian
ទ	Khmer
ో	Telugu
ယ	Myanmar
ą	Latin
ំ	Khmer
ិ	Khmer
の	Hiragana
ส	Thai
ါ	Myanmar
ય	Gujarati
ค	Thai
గ	Telugu
သ	Myanmar
æ	Latin-1 Supplement[h]
ח	Hebrew
ச	Tamil
ព	Khmer
վ	Armenian
আ	Bengali
ට	Sinhala
డ	Telugu
જ	Gujarati
པ	Tibetan
ø	Latin-1 Supplement[h]
ห	Thai
أ	Arabic
റ	Malayalam
ة	Arabic
හ	Sinhala
ണ	Malayalam
ิ	Thai
ီ	Myanmar
អ	Khmer
ע	Hebrew
ಹ	Kannada
γ	Greek and Coptic
我	Han
ะ	Thai
ъ	Cyrillic
ý	Latin-1 Supplement[h]
এ	Bengali
ැ	Sinhala
ཡ	Tibetan
ց	Armenian
ص	Arabic
ğ	Latin
ต	Thai
ც	Georgian
ച	Malayalam
ד	Hebrew
ྲ	Tibetan
შ	Georgian
സ	Malayalam
ô	Latin-1 Supplement[h]
ដ	Khmer
δ	Greek and Coptic
ط	Arabic
គ	Khmer
ট	Bengali
ไ	Thai
भ	Devanagari
দ	Bengali
щ	Cyrillic
ಬ	Kannada
ڭ	Arabic
ច	Khmer
հ	Armenian
แ	Thai
अ	Devanagari
ជ	Khmer
ី	Khmer
ป	Thai
હ	Gujarati
이	Hangul
ф	Cyrillic
च	Devanagari
ě	Latin
छ	Devanagari
ග	Sinhala
。	CJK Symbols and Punctuation
บ	Thai
લ	Gujarati
で	Hiragana
դ	Armenian
ಡ	Kannada
છ	Gujarati
다	Hangul
ೇ	Kannada
அ	Tamil
අ	Sinhala
ણ	Gujarati
វ	Khmer
য়	Bengali
ư	Latin
آ	Arabic
ಅ	Kannada
ே	Tamil
उ	Devanagari
ཁ	Tibetan
ė	Latin
ק	Hebrew
ტ	Georgian
ή	Greek and Coptic
一	Han
ω	Greek and Coptic
ಪ	Kannada
િ	Gujarati
അ	Malayalam
ো	Bengali
ę	Latin
ხ	Georgian
จ	Thai
இ	Tamil
ీ	Telugu
ذ	Arabic
။	Myanmar
ए	Devanagari
是	Han
అ	Telugu
す	Hiragana
ែ	Khmer
ł	Latin
는	Hangul
니	Hangul
थ	Devanagari
ញ	Khmer
ူ	Myanmar
হ	Bengali
ই	Bengali
ཚ	Tibetan
ข	Thai
ը	Armenian
ോ	Malayalam
է	Armenian
χ	Greek and Coptic
ខ	Khmer
ె	Telugu
し	Hiragana
ื	Thai
ट	Devanagari
ڵ	Arabic
թ	Armenian
ဒ	Myanmar
એ	Gujarati
ใ	Thai
ۈ	Arabic
ះ	Khmer
આ	Gujarati
জ	Bengali
კ	Georgian
い	Hiragana
થ	Gujarati
ண	Tamil
ཞ	Tibetan
ղ	Armenian
ྒ	Tibetan
ছ	Bengali
ँ	Devanagari
અ	Gujarati
ಟ	Kannada
î	Latin-1 Supplement[h]
গ	Bengali
બ	Gujarati
எ	Tamil
आ	Devanagari
ೂ	Kannada
ံ	Myanmar
פ	Hebrew
ូ	Khmer
ெ	Tamil
θ	Greek and Coptic
শ	Bengali
พ	Thai
ဖ	Myanmar
බ	Sinhala
។	Khmer
բ	Armenian
«	Latin-1 Supplement[h]
գ	Armenian
ො	Sinhala
श	Devanagari
に	Hiragana
ז	Hebrew
ू	Devanagari
ų	Latin
ៅ	Khmer
た	Hiragana
â	Latin-1 Supplement[h]
ã	Latin-1 Supplement[h]
ហ	Khmer
ุ	Thai
»	Latin-1 Supplement[h]
は	Hiragana
在	Han
ò	Latin-1 Supplement[h]
պ	Armenian
ג	Hebrew
ួ	Khmer
ગ	Gujarati
ೊ	Kannada
ქ	Georgian
ဆ	Myanmar
ύ	Greek and Coptic
と	Hiragana
દ	Gujarati
ោ	Khmer
る	Hiragana
!	Basic Latin[g]
에	Hangul
શ	Gujarati
ڕ	Arabic
ۋ	Arabic
ż	Latin
ế	Latin
็	Thai
খ	Bengali
ટ	Gujarati
চ	Bengali
ཀ	Tibetan
ී	Sinhala
人	Han
ู	Thai
が	Hiragana
て	Hiragana
ړ	Arabic
ई	Devanagari
を	Hiragana
ř	Latin
ზ	Georgian
ס	Hebrew
ま	Hiragana
ध	Devanagari
ạ	Latin
φ	Greek and Coptic
그	Hangul
ำ	Thai
な	Hiragana
წ	Georgian
ث	Arabic
չ	Armenian
지	Hangul
ê	Latin-1 Supplement[h]
എ	Malayalam
േ	Malayalam
ည	Myanmar
ভ	Bengali
ங	Tamil
ཐ	Tibetan
ோ	Tamil
ထ	Myanmar
ख	Devanagari
ض	Arabic
ś	Latin
ộ	Latin
ť	Latin
ಇ	Kannada
ן	Hebrew
ё	Cyrillic
을	Hangul
۔	Arabic
ծ	Armenian
থ	Bengali
ώ	Greek and Coptic
有	Han
औ	Devanagari
շ	Armenian
ő	Latin
इ	Devanagari
ấ	Latin
